Code_ARP;Libelle_medicament;DCI_brute;Substance_texte;Substance_norm
ARP001275;EAU OXYGENE - FLACON / 250 ml;SOLUTION DE PEROXYDE D’HYDROGENE;SOLUTION DE PEROXYDE D’HYDROGENE;SOLUTION DE PEROXYDE D’HYDROGENE
ARP003533;TENELIG - BOITE / 30;TENELIGLITINE;TENELIGLITINE;TENELIGLITINE
ARP002519;NEUTROSEC - BOITE / 30;DL-METHIONINE / CHOLINE BITRATADE / NITRATE DE THIAMINE / RIBOFLAVINE / PYRIDOXINE CHLORYDRATE / NICOTINAMIDE / DEXPANTHENOL / BIOTINE / ACIDE FOLIQUE / CYANOCOBALAMINE / ALPHA TOCOPHEROL;CHOLINE BITRATADE;CHOLINE BITRATADE
ARP002450;N-T-TUS - FLACON / 100ml;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE / EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE / EXTRAIT D’ADHATODA VASICA EN POUDRE / EXTRAIT D’OCIMUM EN POUDRE / EXTRAIT DE CURCUMA LONGA EN POUDRE / EXTRAIT D’ALPINIA GALANGA EN POUDRE / EXTRAIT DE PIPER LONGUM EN POUDRE;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE
ARP002450;N-T-TUS - FLACON / 100ml;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE / EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE / EXTRAIT D’ADHATODA VASICA EN POUDRE / EXTRAIT D’OCIMUM EN POUDRE / EXTRAIT DE CURCUMA LONGA EN POUDRE / EXTRAIT D’ALPINIA GALANGA EN POUDRE / EXTRAIT DE PIPER LONGUM EN POUDRE;EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE;EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE
ARP002450;N-T-TUS - FLACON / 100ml;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE / EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE / EXTRAIT D’ADHATODA VASICA EN POUDRE / EXTRAIT D’OCIMUM EN POUDRE / EXTRAIT DE CURCUMA LONGA EN POUDRE / EXTRAIT D’ALPINIA GALANGA EN POUDRE / EXTRAIT DE PIPER LONGUM EN POUDRE;EXTRAIT D’ADHATODA VASICA EN POUDRE;EXTRAIT D’ADHATODA VASICA EN POUDRE
ARP002450;N-T-TUS - FLACON / 100ml;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE / EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE / EXTRAIT D’ADHATODA VASICA EN POUDRE / EXTRAIT D’OCIMUM EN POUDRE / EXTRAIT DE CURCUMA LONGA EN POUDRE / EXTRAIT D’ALPINIA GALANGA EN POUDRE / EXTRAIT DE PIPER LONGUM EN POUDRE;EXTRAIT D’OCIMUM EN POUDRE;EXTRAIT D’OCIMUM EN POUDRE
ARP002450;N-T-TUS - FLACON / 100ml;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE / EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE / EXTRAIT D’ADHATODA VASICA EN POUDRE / EXTRAIT D’OCIMUM EN POUDRE / EXTRAIT DE CURCUMA LONGA EN POUDRE / EXTRAIT D’ALPINIA GALANGA EN POUDRE / EXTRAIT DE PIPER LONGUM EN POUDRE;EXTRAIT DE CURCUMA LONGA EN POUDRE;EXTRAIT DE CURCUMA LONGA EN POUDRE
ARP002450;N-T-TUS - FLACON / 100ml;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE / EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE / EXTRAIT D’ADHATODA VASICA EN POUDRE / EXTRAIT D’OCIMUM EN POUDRE / EXTRAIT DE CURCUMA LONGA EN POUDRE / EXTRAIT D’ALPINIA GALANGA EN POUDRE / EXTRAIT DE PIPER LONGUM EN POUDRE;EXTRAIT D’ALPINIA GALANGA EN POUDRE;EXTRAIT D’ALPINIA GALANGA EN POUDRE
ARP002450;N-T-TUS - FLACON / 100ml;EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE / EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE / EXTRAIT D’ADHATODA VASICA EN POUDRE / EXTRAIT D’OCIMUM EN POUDRE / EXTRAIT DE CURCUMA LONGA EN POUDRE / EXTRAIT D’ALPINIA GALANGA EN POUDRE / EXTRAIT DE PIPER LONGUM EN POUDRE;EXTRAIT DE PIPER LONGUM EN POUDRE;EXTRAIT DE PIPER LONGUM EN POUDRE
ARP001672;GINKGO BIOGARAN - BOITE / 90;GINKGO BILOBA L;GINKGO BILOBA L;GINKGO BILOBA L
ARP000064;AFINE C - BOITE / 10;ACETAMINOPHENE / MALEATE DE PHENYLEPHRINE;ACETAMINOPHENE;ACETAMINOPHENE
ARP000289;AQUZON – SP - BOITE / 50;AMODIAQUINE / SULFADOXINE / PYRIMETHAMINE;AMODIAQUINE;AMODIAQUINE
ARP000289;AQUZON – SP - BOITE / 50;AMODIAQUINE / SULFADOXINE / PYRIMETHAMINE;SULFADOXINE;SULFADOXINE
ARP000865;CLEDOMAX - FLACON / 60 ml;AMOXICILINE/ CLAVULANATE;CLAVULANATE;CLAVULANATE
ARP002754;PALUVA PLUS SENIOR - BOITE / 1;ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP002833;PEGLEC - BOITE / 1;POLYETHYLENE GLYCOL;POLYETHYLENE GLYCOL;POLYETHYLENE GLYCOL
ARP002967;PROCTICAD - FLACON / 200 ml;MONOHYDRATE DE LACTITOL;MONOHYDRATE DE LACTITOL;MONOHYDRATE DE LACTITOL
ARP003583;TETATOX - BOITE /1;ANATOXINE TETANIQUE PURIFIEE PAS MOINS DE 40 UI;ANATOXINE TETANIQUE PURIFIEE PAS MOINS DE 40 UI;ANATOXINE TETANIQUE PURIFIEE PAS MOINS DE 40 UI
ARP000382;AVANEP - FLACON / 5ML;NEPAFENAC;NEPAFENAC;NEPAFENAC
ARP002746;PALSUNATE - BOITE / 1;ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP002403;MOVFOR - BOITE / 40;MOLNUPIRAVIR;MOLNUPIRAVIR;MOLNUPIRAVIR
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;MENTHA SYLVASTRIS;MENTHA SYLVASTRIS
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;ADHATODA VASICA;ADHATODA VASICA
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;SOLANUM;SOLANUM
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;XANNTHOCARPUM;XANNTHOCARPUM
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;PIPER NIGRUM;PIPER NIGRUM
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;ZINGIBER OFFINALE;ZINGIBER OFFINALE
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;GLYCYRRIZA GLABRA;GLYCYRRIZA GLABRA
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;EMBLICA OFFICINALIS;EMBLICA OFFICINALIS
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;CURCUMA LONGA;CURCUMA LONGA
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;ACACIA CATECHU;ACACIA CATECHU
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;OCIMUM SANCTUM;OCIMUM SANCTUM
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;FOENICULUM VULGARE;FOENICULUM VULGARE
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;TERMINALIA BELERICA;TERMINALIA BELERICA
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;PIPER LONGUM;PIPER LONGUM
ARP001317;EMCOF - FLACON / 100 ml;MENTHA SYLVASTRIS / ADHATODA VASICA / SOLANUM / XANNTHOCARPUM / PIPER NIGRUM / ZINGIBER OFFINALE/ GLYCYRRIZA GLABRA/ EMBLICA OFFICINALIS / CURCUMA LONGA / ACACIA CATECHU/ OCIMUM SANCTUM / FOENICULUM VULGARE / TERMINALIA BELERICA / PIPER LONGUM / PISTACIA INTEGERRIMA;PISTACIA INTEGERRIMA;PISTACIA INTEGERRIMA
ARP001330;ENFAGRIP - FLACON / 150 ml;SARJIKAKSHHARA PURIFIE / SOWATEL / SHATPUSFHATEL / PUDINA TEL BASE AQUEUSE DE SUCRE;SARJIKAKSHHARA PURIFIE;SARJIKAKSHHARA PURIFIE
ARP001330;ENFAGRIP - FLACON / 150 ml;SARJIKAKSHHARA PURIFIE / SOWATEL / SHATPUSFHATEL / PUDINA TEL BASE AQUEUSE DE SUCRE;SOWATEL;SOWATEL
ARP001330;ENFAGRIP - FLACON / 150 ml;SARJIKAKSHHARA PURIFIE / SOWATEL / SHATPUSFHATEL / PUDINA TEL BASE AQUEUSE DE SUCRE;SHATPUSFHATEL;SHATPUSFHATEL
ARP001330;ENFAGRIP - FLACON / 150 ml;SARJIKAKSHHARA PURIFIE / SOWATEL / SHATPUSFHATEL / PUDINA TEL BASE AQUEUSE DE SUCRE;PUDINA TEL BASE AQUEUSE DE SUCRE;PUDINA TEL BASE AQUEUSE DE SUCRE
ARP003584;TETAVIN - BOITE / 1;SERUM ANTITETANINE;SERUM ANTITETANINE;SERUM ANTITETANINE
ARP002753;PALUVA PLUS JUNIOR - BOITE / 1;ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP000063;AFINE - BOITE / 10;ACETAMINOPHENE / MALEATE DE PHENYLEPHRINE / ACIDE ASCORBIQUE;ACETAMINOPHENE;ACETAMINOPHENE
ARP001672;GINKGO BIOGARAN - BOITE / 30;GINKGO BILOBA L;GINKGO BILOBA L;GINKGO BILOBA L
ARP000508;BEOGUT - BOITE / 10;CLOSTRIDIUM BUTYRICUM / BIFIDOBACTERIUM INFANTIS;CLOSTRIDIUM BUTYRICUM;CLOSTRIDIUM BUTYRICUM
ARP000508;BEOGUT - BOITE / 10;CLOSTRIDIUM BUTYRICUM / BIFIDOBACTERIUM INFANTIS;BIFIDOBACTERIUM INFANTIS;BIFIDOBACTERIUM INFANTIS
ARP003763;URELOG - BOITE / 100;KETOANALOGUE / AMINOACIDE;KETOANALOGUE;KETOANALOGUE
ARP003763;URELOG - BOITE / 100;KETOANALOGUE / AMINOACIDE;AMINOACIDE;AMINOACIDE
ARP001351;EPOMAX - BOITE / 10;ERYTHROPOIETINE HUMAINE RECOMBINANTE ALPHA;ERYTHROPOIETINE HUMAINE RECOMBINANTE ALPHA;ERYTHROPOIETINE HUMAINE RECOMBINANTE ALPHA
ARP003180;RUBIRED - FLACON / 150 ml;ACIDE ASCORBIQUE FERREUX / ACIDE FOLIQUE / CYANOCOBALAMINE TRITUREE;CYANOCOBALAMINE TRITUREE;CYANOCOBALAMINE TRITUREE
ARP001443;FE-XTRA - FLACOM / 200;SURFATE DE GLYCINE FERREUX / L- HISTIDINE/ PYRIDOXINE/ MICOTINAMIDE/ ACIDE FOLIQUE/ CYANOCOBALAMINE/ ASCORBATE DE ZING;SURFATE DE GLYCINE FERREUX;SURFATE DE GLYCINE FERREUX
ARP001443;FE-XTRA - FLACOM / 200;SURFATE DE GLYCINE FERREUX / L- HISTIDINE/ PYRIDOXINE/ MICOTINAMIDE/ ACIDE FOLIQUE/ CYANOCOBALAMINE/ ASCORBATE DE ZING;ASCORBATE DE ZING;ASCORBATE DE ZING
ARP000268;APETAMIN - FLACOM / 110 ml;CYPROHEPTADINE / THIAMINE HYDROCHLORIDE / PYRIDOXINE / NICOTINAMIDE / DEXPANTHENOL;THIAMINE HYDROCHLORIDE;THIAMINE HYDROCHLORIDE
ARP000487;BANEO-GH - TYPE / 20 g;BACITRAZINE ZINC / SULFATE DE NEOMYCINE;BACITRAZINE ZINC;BACITRAZINE ZINC
ARP000576;BISOPROLOL - BOITE / 90;HEMIFUMARATE;HEMIFUMARATE;HEMIFUMARATE
ARP002421;MULTIGARD - FLACOM / 100 ml;THREONINE / VALINE / METHIONINE / ISOLEUCINE/LEUCINE / PHENYLALANINE / TRYPTOPHANE / CHLORHYDRATE DE L-LYSINE / CHLORHYDRATE DE THIAMINE / RIBOFLAVINE / CHLORHYDRATE DE PYRIDOXINE / NICOTINAMIDE / ACIDE ASCORBIQUE / VITAMINE A CHOLACALCIFEROL / ACETATE DE TOCOPHERYLE ALPHA TOUT-RAC / CYANOCOBALAMINE / ACIDE FOLIQUE / PANTOTHENATE DE CALCIUM;VITAMINE A CHOLACALCIFEROL;VITAMINE A CHOLACALCIFEROL
ARP002421;MULTIGARD - FLACOM / 100 ml;THREONINE / VALINE / METHIONINE / ISOLEUCINE/LEUCINE / PHENYLALANINE / TRYPTOPHANE / CHLORHYDRATE DE L-LYSINE / CHLORHYDRATE DE THIAMINE / RIBOFLAVINE / CHLORHYDRATE DE PYRIDOXINE / NICOTINAMIDE / ACIDE ASCORBIQUE / VITAMINE A CHOLACALCIFEROL / ACETATE DE TOCOPHERYLE ALPHA TOUT-RAC / CYANOCOBALAMINE / ACIDE FOLIQUE / PANTOTHENATE DE CALCIUM;ACETATE DE TOCOPHERYLE ALPHA TOUT-RAC;ACETATE DE TOCOPHERYLE ALPHA TOUT RAC
ARP001767;Glim Forte - B/30;nan;nan;NAN
ARP003018;Phlorogex - B/20;nan;nan;NAN
ARP002448;Moxiland - B/16;AMOXILLINE ACIDE CLAVILANIQUE;AMOXILLINE ACIDE CLAVILANIQUE;AMOXILLINE ACIDE CLAVILANIQUE
ARP001957;Indonozone S - fl/1;nan;nan;NAN
ARP001956;Indofix - fl/60;CEFIXIME;CEFIXIME;CEFIXIME
ARP003900;Viprostol - B/4;PIPERANIQUE;PIPERANIQUE;PIPERANIQUE
ARP001959;Indozone - B/1;CEFIXIME;CEFIXIME;CEFIXIME
ARP003014;Pantopral-Dgélule - B/30;CEFIXIME;CEFIXIME;CEFIXIME
ARP003726;Tramecetal - B/10;ACETAMINENOPHENE/ CHLORHYDRATE DE TRAMADOL;ACETAMINENOPHENE;ACETAMINENOPHENE
ARP002604;Neofixim - B/10;CEFIXIME;CEFIXIME;CEFIXIME
ARP000422;Acenland P - B/10;ACECLOFENAC + PARACETAMOL;ACECLOFENAC + PARACETAMOL;ACECLOFENAC + PARACETAMOL
ARP001761;Gelma - B/30;nan;nan;NAN
ARP003723;Tivasone - T/30g;CLOBETASOL;CLOBETASOL;CLOBETASOL
ARP000457;Asmonate - fl/10ml;ARTESUNATE STERILE;ARTESUNATE STERILE;ARTESUNATE STERILE
ARP000457;Asmonate - fl/5ml;ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP001955;Indofer - fl/200ml;FER / ACIDE FOLIQUE / CYANOCOBALAMINE (VITAMINE B12);CYANOCOBALAMINE (VITAMINE B12);CYANOCOBALAMINE (VITAMINE B12)
ARP003468;Sunaveine - fl/1;ARTESUNATE EN POUDRE;ARTESUNATE EN POUDRE;ARTESUNATE EN POUDRE
ARP001270;Dini - T/30g;DINI GEL TUBE;DINI GEL TUBE;DINI GEL TUBE
ARP003192;Richfer - B/30;FER CARBONYLE ÉQUIVALENT AU FER ÉLÉMENTAIRE 100MG / ACIDE FOLIQUE (VITAMINE B9 500MG / CYANOCOBALAMINE (VITAMINE B12) 15MG / ACIDE ASCORBIQUE (VITAMINE C) 75MG / SULFATE DE ZINC MONOHYDRATÉ 61,8MG (ÉQUIVALENT À 22,5MG DE ZINC) / ACÉTALE D’ALPHA TOCOPHÉROL 15 UI / SÉLÉNATE DE SODIUM ÉQUIVALENT À SÉLÉNIUM 65MG;FER CARBONYLE ÉQUIVALENT AU FER ÉLÉMENTAIRE 100MG;FER CARBONYLE EQUIVALENT AU FER ELEMENTAIRE 100MG
ARP003192;Richfer - B/30;FER CARBONYLE ÉQUIVALENT AU FER ÉLÉMENTAIRE 100MG / ACIDE FOLIQUE (VITAMINE B9 500MG / CYANOCOBALAMINE (VITAMINE B12) 15MG / ACIDE ASCORBIQUE (VITAMINE C) 75MG / SULFATE DE ZINC MONOHYDRATÉ 61,8MG (ÉQUIVALENT À 22,5MG DE ZINC) / ACÉTALE D’ALPHA TOCOPHÉROL 15 UI / SÉLÉNATE DE SODIUM ÉQUIVALENT À SÉLÉNIUM 65MG;ACIDE FOLIQUE (VITAMINE B9 500MG;ACIDE FOLIQUE (VITAMINE B9 500MG
ARP003192;Richfer - B/30;FER CARBONYLE ÉQUIVALENT AU FER ÉLÉMENTAIRE 100MG / ACIDE FOLIQUE (VITAMINE B9 500MG / CYANOCOBALAMINE (VITAMINE B12) 15MG / ACIDE ASCORBIQUE (VITAMINE C) 75MG / SULFATE DE ZINC MONOHYDRATÉ 61,8MG (ÉQUIVALENT À 22,5MG DE ZINC) / ACÉTALE D’ALPHA TOCOPHÉROL 15 UI / SÉLÉNATE DE SODIUM ÉQUIVALENT À SÉLÉNIUM 65MG;CYANOCOBALAMINE (VITAMINE B12) 15MG;CYANOCOBALAMINE (VITAMINE B12) 15MG
ARP003192;Richfer - B/30;FER CARBONYLE ÉQUIVALENT AU FER ÉLÉMENTAIRE 100MG / ACIDE FOLIQUE (VITAMINE B9 500MG / CYANOCOBALAMINE (VITAMINE B12) 15MG / ACIDE ASCORBIQUE (VITAMINE C) 75MG / SULFATE DE ZINC MONOHYDRATÉ 61,8MG (ÉQUIVALENT À 22,5MG DE ZINC) / ACÉTALE D’ALPHA TOCOPHÉROL 15 UI / SÉLÉNATE DE SODIUM ÉQUIVALENT À SÉLÉNIUM 65MG;ACIDE ASCORBIQUE (VITAMINE C) 75MG;ACIDE ASCORBIQUE (VITAMINE C) 75MG
ARP003192;Richfer - B/30;FER CARBONYLE ÉQUIVALENT AU FER ÉLÉMENTAIRE 100MG / ACIDE FOLIQUE (VITAMINE B9 500MG / CYANOCOBALAMINE (VITAMINE B12) 15MG / ACIDE ASCORBIQUE (VITAMINE C) 75MG / SULFATE DE ZINC MONOHYDRATÉ 61,8MG (ÉQUIVALENT À 22,5MG DE ZINC) / ACÉTALE D’ALPHA TOCOPHÉROL 15 UI / SÉLÉNATE DE SODIUM ÉQUIVALENT À SÉLÉNIUM 65MG;SULFATE DE ZINC MONOHYDRATÉ 61,8MG (ÉQUIVALENT À 22,5MG DE ZINC);SULFATE DE ZINC MONOHYDRATE 61,8MG (EQUIVALENT A 22,5MG DE ZINC)
ARP003192;Richfer - B/30;FER CARBONYLE ÉQUIVALENT AU FER ÉLÉMENTAIRE 100MG / ACIDE FOLIQUE (VITAMINE B9 500MG / CYANOCOBALAMINE (VITAMINE B12) 15MG / ACIDE ASCORBIQUE (VITAMINE C) 75MG / SULFATE DE ZINC MONOHYDRATÉ 61,8MG (ÉQUIVALENT À 22,5MG DE ZINC) / ACÉTALE D’ALPHA TOCOPHÉROL 15 UI / SÉLÉNATE DE SODIUM ÉQUIVALENT À SÉLÉNIUM 65MG;SÉLÉNATE DE SODIUM ÉQUIVALENT À SÉLÉNIUM 65MG;SELENATE DE SODIUM EQUIVALENT A SELENIUM 65MG
ARP001857;Heamocare - B/30;SULFATE FERREUR 100MG / ACIDE FOLIQUE 1,5MG / ACIDE ASCORBIQUE 7,5MG / CYANOCOBALAMINE (VITAMINE B/12) 15MCG / ZINC ÉLÉMENTAIRE (SOUS FORME DE SULFATE DE ZINC) 22,5MG;SULFATE FERREUR 100MG;SULFATE FERREUR 100MG
ARP001857;Heamocare - B/30;SULFATE FERREUR 100MG / ACIDE FOLIQUE 1,5MG / ACIDE ASCORBIQUE 7,5MG / CYANOCOBALAMINE (VITAMINE B/12) 15MCG / ZINC ÉLÉMENTAIRE (SOUS FORME DE SULFATE DE ZINC) 22,5MG;CYANOCOBALAMINE (VITAMINE B;CYANOCOBALAMINE (VITAMINE B
ARP001857;Heamocare - B/30;SULFATE FERREUR 100MG / ACIDE FOLIQUE 1,5MG / ACIDE ASCORBIQUE 7,5MG / CYANOCOBALAMINE (VITAMINE B/12) 15MCG / ZINC ÉLÉMENTAIRE (SOUS FORME DE SULFATE DE ZINC) 22,5MG;12) 15MCG;12) 15MCG
ARP001857;Heamocare - B/30;SULFATE FERREUR 100MG / ACIDE FOLIQUE 1,5MG / ACIDE ASCORBIQUE 7,5MG / CYANOCOBALAMINE (VITAMINE B/12) 15MCG / ZINC ÉLÉMENTAIRE (SOUS FORME DE SULFATE DE ZINC) 22,5MG;ZINC ÉLÉMENTAIRE (SOUS FORME DE SULFATE DE ZINC) 22,5MG;ZINC ELEMENTAIRE (SOUS FORME DE SULFATE DE ZINC) 22,5MG
