Code_ARP;Libelle_medicament
ARP003023;Polgen 2 lait infantile - pot de 400 mg
ARP003025;Polgen 4 lait infantile - pot de 400 mg
ARP001028;Calgen-bébé - flacon de 200 ml
ARP001610;Formate - B 6/100 FL/1
ARP001765;Gensil lactation - poudre ganulé B/200
ARP000425;Alcer - solution injectable B/1
ARP002611;Neural - B/30
ARP002211;Lemonex sirop - flacon de 30 ml
ARP002447;Morness - B/30
ARP003026;Ponyadex - flacon de 10 ml
ARP001429;Eyprost - fl/2,5
ARP003464;Sovel - B/28
ARP000443;Amlonex AT - B/100
ARP002214;Levothyroxine GH 75 mg - B/30
ARP003963;ZEFLET - B/10
ARP003456;Salmetol - 50/500 mcg
ARP004027;levothyroxine GH 50 mg comprimé B/30 - B/30
ARP002446;Morking - B/30
ARP000458;Aurothrine - fl/ 15ml
ARP001268;Desyrel - B/30
ARP000442;Amlokil PL 10mg/5mg - B/30
ARP003465;Spasno - B/30
ARP002449;Myhep 400 mg - B/28
ARP001032;Claricin - B /10
ARP003963;ZEFLET - flacon 30 ml
ARP002029;Kilmet - comprimé pelliculé B/30
ARP004022;Zimfil ODS - Boite/4
ARP001185;DNS - fl/500 ml
ARP002609;Neufectia collyre - flacon de 5ml
ARP000459;Axadex D10 - fl/500 ml
ARP000459;Axadex D10 - nan
ARP004024;azthrin - gelule B/6
ARP000405;AZIPINN - nan
ARP002893;PINOFLOX - B/10
ARP000764;CETRIPINN - B/10
ARP002892;PINNOFEC Plus - B/10
ARP003009;PYRANTOX - FLACON/15 ml
ARP002772;PANTONEX DR - B/30
ARP002903;PLASMOCUR - B/8
ARP001932;IPPROTON - nan
ARP002145;LITACOLD NUIT - B/16
ARP003384;STERIMAR NEZ BOUCHE BB - FLACON/50 ml
ARP001336;ENOXAMED - B/2
ARP001327;ENDURANT - B/30
ARP001932;IPPROTON - B/16
ARP003256;SEPTYL - FLACON/200 ml
ARP001065;DARTE-Q - B/16
ARP002172;LOPRAZ - B/14
ARP001175;DISLEP - B/20
ARP002867;PHENERGAN - TUBE/30 G
ARP001179;DISTEM - B/50
ARP000758;CETAZONE - B/1
ARP001993;KAMAGRA - B/4
ARP002571;NOVATEN - B/28
ARP002572;NOVATEN AM - B/28
ARP002333;METRONIDAZOLE - BOITE/100 BLISTER DE 10
ARP000151;AMADAY - B/30
ARP000072;AIRLIX - B/15
ARP001862;IBUMOL - B/30
ARP000761;CETRAXAL - B/10
ARP000827;CIPROLON - B/10
ARP002568;NORZOL - B/10
ARP001379;ESOMED - B/1
ARP003004;PYODINE - TUBE/20 G
ARP003678;TRILLERG - FLACON/10 ml
ARP001971;JUVAMINE - B/10
ARP000890;CO-AMOX ACINO - B/12
ARP001361;ERTIVIX - B/30
ARP002666;OMIZEC - B/28
ARP003004;PYODINE - FLACON/450 ml
ARP002004;KETESSE - B/10
ARP002903;PLASMOCUR - B/16
ARP002203;LUTTAGEN - B/30
ARP002004;KETESSE - B/20
ARP000182;AMLOPAMIDE - B/30
ARP001075;DEFAL - B/20
ARP001454;FEMIGESTON - B/10
ARP001543;FLUDOL DM - FLACON/120 ml
ARP002208;LYSOFLAM - TUBE/30 G
ARP002579;NS CHLORURE DE SODIUM - FLACON/250 ml
ARP000333;ASCARD - B/30
ARP003304;SMILOCID - nan
ARP001757;GYNOPILL - B/1
ARP001314;ELUDRILPRO - FLACON/200 ml
ARP000807;CIFRAN - FLACON/100 ml
ARP000343;ASPRO - BOITE/20
ARP003834;VIADIS - B/4
ARP003107;RHINATHIOL - FLACON/125 ml
ARP002455;NACNEX LP - B/10
ARP000023;ACIDE ACETYL SALICYCLIQUE UBI - BOITE/1000
ARP003834;VIADIS - BOITE/4
ARP002682;OPTIFLOX - FLACON/5 ml
ARP001625;GASPRAL - BOITE/30
ARP003423;SUPERSTAT - BOITE/10
ARP001253;DUPHASTON - BOITE/10
ARP001817;HIPOTENSIL - B/30
ARP000950;CONCOR AMLO - BOITE/30
ARP001833;HUMEX TOUX SECHE - FLACON/150 ml
ARP000551;BIMALARIL - B/6
ARP001745;GURONSAN - BOITE/30
ARP000106;ALGESIC EXTRA - B/16
ARP001075;DEFAL - B/10
ARP000211;AMOXICILLINE UBITHERA - FLACON/60 ml
ARP002319;METFORMINE-GH - B/100
ARP001413;EXLUTION - BOITE/3 BLISTER DE 28
ARP000052;ADIONE - B/10
ARP000224;AMPICILLINE UBITHERA - BOITE/120
ARP002121;LEVOX - B/14
ARP003071;RANTUDIL - B/20
ARP001695;GLUCOSE - FLACON/500 ml
ARP000052;ADIONE - B/30
ARP001313;ELUDRIL PRO - FLACON/500 ml
ARP001626;GASPRAL-INJECT - B/1
ARP000981;COVYL - BOITE/30
ARP000938;COLOSAR FORT - B/30
ARP000029;ACILOC - BOITE/5
ARP001187;DOCETAXEL - B/10
ARP001793;HEMAFER FOL - BOITE/30
ARP000939;COLOSAR PLUS - B/30
ARP003752;UNIPHOS - BOITE/1 FLACON
ARP000782;CHLORURE DE SODIUM - FLACON/500 ml
ARP001680;GLIDE LP - BOITE/150
ARP002183;LOSART FORT - B/30
ARP001983;JUVAMINE MAGNESIUM/VITAMINE B6 - BOITE/15
ARP000645;CALCINIB - BOITE/28
ARP003526;TELMIPIDINE - B/30
ARP001698;GLUCOSE INDUSTRIE MEDICO-CHIRURGICALES - FLACON/500 ml
ARP001936;IRBESARTAN/HYDROCHLOROTHIAZIDE BIOGARAN - B/30
ARP000617;BSV HUMOG - BOITE/1 FLACON
ARP000302;ARTEFAN - BOITE/720
ARP000822;CIPROFLOXACINE KABI - FLACON/100 ml
ARP002398;MOPRAL - BOITE/14
ARP000408;AZITHRO ACINO - BOITE/3
ARP001178;DISMIGRAS - B/30
ARP000515;BESIVANCE - FLACON/5 ml
ARP002686;OPTIPRED - FLACON/5ml
ARP003396;STRESAM - BOITE/60
ARP002863;PHARMATRIL - BOITE/40
ARP002590;NURSIE 1 - POT/400 G
ARP002594;NURSIE CONFORT 1 - POT/400 G
ARP001082;DELPRIM - B/3
ARP002131;LIDOCAINE UBIGEN - FLACON/20 ml
ARP002517;NEUTROPINE - B/1
ARP003527;TELMITHIAZIDE - B/30
ARP002314;METFORMINE BIOGARAN - B/30
ARP000073;AIRMOL - FLACON/100 ml
ARP002903;PLASMOCUR - FLACON/90 ml
ARP000105;ALFUZOSINE BIOGARAN LP - B/30
ARP002065;LAMOTRIGINE ARROW LAB - B/30
ARP002065;LAMOTRIGINE ARROW LAB - BOITE/30
ARP003523;TELMIKAA AM - BOITE/30
ARP002676;OPLATIN - FLACON/25 ml
ARP000744;CELOFEN - BOITE/20
ARP001301;EFFERCAL - BOITE/20
ARP003203;SALBUCORT - FLACON/200 DOSES
ARP003923;XICLAV - FL/60 ml
ARP001894;INDOFIX - FL/60 ml
ARP003001;PULMOFLUIDE SIMPLE - FL/150 ml
ARP004016;ZYLTAN - B/30
ARP003933;XYKAA PLUS - BOITE/20
ARP003966;ZENAVAN - T/40 G
ARP000130;ALOFACT - BOITE/20
ARP001894;INDOFIX - B/10
ARP003416;SUNAVEINE - FL/1
ARP004032;µASMOFLOX OZ - B/20
ARP001947;ITRACIBRA - B/10
ARP001150;DICLOFENAC UBITHERA - BOITE/100
ARP000378;AUROMOX DUO - B/14
ARP002406;MOXILAND - FL/60 ml
ARP000380;AUROTHRINE - FL/15 ml
ARP002663;OMEPRAZOLE UBITHERA - BOITE/10 BLISTER DE 10 GELULE
ARP002595;NURSIE CONFORT 2 - POT/400 G
ARP000395;AXADEX D10 - FL/500 ml
ARP002194;LUCLIP - T/30 G
ARP003617;TIVASONE S - T/30 G
ARP000308;ARTEMETHER UBITHERA - B/10
ARP002890;PICOT NUTRITION QUOTIDIENNE 2 ème AGE - POT 400/G
ARP001322;ENALAPRIL BIOGARAN - BOITE/28
ARP000838;CITRATE D\’AMMONIUM FERRIQUE - FLACON/15 ml
ARP002591;NURSIE 2 - POT/400 G
ARP003244;SEKALGIC - B/12
ARP002944;PRE NURSIE - POT/400 G
ARP004000;ZOCIN - FLACON/15 ml
ARP002592;NURSIE ADIALAC - POT/400 G
ARP002940;PRASUPAN - B/30
ARP000302;ARTEFAN - BOITE/12
ARP003701;TROYPANTO - B/10
ARP002889;PICOT NUTRITION QUOTIDIENNE 1er AGE - POT 400/G
ARP003140;RINGER LACTATE - POCHE/500 ml
ARP002886;PICAMAR - B/30
ARP000662;CAPECITABINE BIOGARAN - B/60
ARP002628;OFLOCARE - FL/100 ml
ARP002578;NS - FL/500 ml
ARP001774;HAEM UP - FLACON/200 ml
ARP002956;PRIMIGYN - BOITE/1
ARP002095;LETROZOLE BIOGARAN - B/30
ARP002513;NEUTELMA - B/30
ARP002096;LEUPRODICE - FL/1
ARP000824;CIPROFLOXACINE UBIGEN - FLACON/50 ml
ARP003659;TREVIAMET - BOITE/14
ARP002671;ONCOSID - BOITE/1
ARP001708;GLYMAX - B/30
ARP002149;LITAMOL - B/80
ARP001691;GLIZID M - B/100
ARP000403;AZICURE - FLACON/15 ml
ARP001482;FEVASTIN - FL/100 ml
ARP001468;FEROGEST - B/30
ARP001185;DNS - FL/500 ml
ARP000872;CLOMIFEX - B/10
ARP003791;VALPROATE GH - FLACON/150 ml
ARP001150;DICLOFENAC UBITHERA - B/100
ARP000847;CLARICIN - B/10
ARP000500;BEKRACINE - FL/60 ml
ARP000396;AXADEX D5 - FL/500 ml
ARP001262;DYNAPAR SR - B/100
ARP000379;AUROTHRIN - B/3
ARP003905;WELFIL - B/4
ARP002255;MEBENDAZOLE UBIGEN - FLACON/30 ml
ARP000378;AUROMOX DUO - FL/60 ml
ARP000157;AMATRIX - B/30
ARP003563;TERCLAV E - FL/100 ml
ARP001103;DESLOCREAT - FL/60 ml
ARP001260;DYNAPAR EC - B/100
ARP002502;NEUFER PLUS - FL/200 ml
ARP001948;ITRAD - B/10
ARP000022;ACIDAXIL - FL/200 ml
ARP001730;GRISEOFULVINE - B/100
ARP001469;FERON - B/28
ARP001367;ERYTHROMMYCINE STEARATE - B/100
ARP003885;VIVAGEST - B/30
ARP001218;DONORMYL - B/10
ARP001149;DICLOFENAC SODIUM - B/100
ARP000185;AMLOSTAT - BOITE/30
ARP000816;CIPLOX - FL/100 ml
ARP000815;CIPLET - B/100
ARP003783;VAGICARE-GH - BOITE/12
ARP000791;CHOLCHIMAX - B/100
ARP002506;NEURISPE - B/60
ARP000907;CO-VEPRAM - B/28
ARP003880;VITAPRED - B/10
ARP000672;CARBAMAZEPINE - B/100
ARP001101;DESCOVY - BOITE/30
ARP000414;AZIX - FLACON/150 ml
ARP003853;VIRDAC - B/28
ARP000502;BENDEX - FL/10 ml
