Code_substance;Libelle_substance;Code_ARP
71861.0;GLIMÉPIRIDE;ARP000155
4442.0;METFORMINE;ARP000156
71861.0;GLIMÉPIRIDE;ARP000156
24321.0;CHLORHYDRATE DE METFORMINE;ARP000157
39727.0;AMLODIPINE;ARP000159
5248.0;AMOXICILLINE;ARP000160
39727.0;AMLODIPINE;ARP000161
93286.0;ACIDE CLAVULANIQUE;ARP000162
5248.0;AMOXICILLINE;ARP000162
1188.0;MÉTRONIDAZOLE (BENZOATE DE);ARP000163
22273.0;AMIKACINE;ARP000164
22273.0;AMIKACINE;ARP000165
39727.0;AMLODIPINE;ARP000166
1130.0;AMINOPHYLLINE;ARP000168
1130.0;AMINOPHYLLINE;ARP000169
5386.0;AMIODARONE (CHLORHYDRATE D');ARP000171
5386.0;CHLORHYDRATE D'AMIODARONE;ARP000172
39727.0;AMLODIPINE;ARP000173
15734.0;VALSARTAN;ARP000174
39727.0;AMLODIPINE;ARP000174
15734.0;VALSARTAN;ARP000175
39727.0;AMLODIPINE;ARP000175
39727.0;AMLODIPINE;ARP000176
39727.0;AMLODIPINE;ARP000177
52431.0;PÉRINDOPRIL;ARP000178
39727.0;AMLODIPINE;ARP000178
19809.0;ATORVASTATINE;ARP000178
39727.0;AMLODIPINE;ARP000179
39727.0;AMLODIPINE;ARP000180
15734.0;VALSARTAN;ARP000180
39727.0;AMLODIPINE;ARP000181
819.0;INDAPAMIDE;ARP000182
39727.0;AMLODIPINE;ARP000182
52431.0;PÉRINDOPRIL;ARP000183
39727.0;AMLODIPINE;ARP000183
19809.0;ATORVASTATINE;ARP000183
19809.0;ATORVASTATINE;ARP000184
52431.0;PÉRINDOPRIL;ARP000184
39727.0;AMLODIPINE;ARP000184
93748.0;AMLODIPINE (BÉSILATE D');ARP000185
19809.0;ATORVASTATINE;ARP000185
39727.0;AMLODIPINE;ARP000185
39727.0;AMLODIPINE;ARP000186
39727.0;AMLODIPINE;ARP000187
39727.0;AMLODIPINE;ARP000188
5248.0;AMOXICILLINE;ARP000189
93286.0;ACIDE CLAVULANIQUE;ARP000189
5248.0;AMOXICILLINE;ARP000190
5248.0;AMOXICILLINE;ARP000193
12345.0;SECNIDAZOLE;ARP000195
5248.0;AMOXICILLINE;ARP000196
5248.0;AMOXICILLINE;ARP000197
5248.0;AMOXICILLINE;ARP000198
28165.0;AMOXICILLINE TRIHYDRATÉE;ARP000198
93286.0;ACIDE CLAVULANIQUE;ARP000199
5248.0;AMOXICILLINE;ARP000199
5248.0;AMOXICILLINE;ARP000200
5248.0;AMOXICILLINE;ARP000201
5248.0;AMOXICILLINE;ARP000202
5248.0;AMOXICILLINE;ARP000203
5248.0;AMOXICILLINE;ARP000204
5248.0;AMOXICILLINE;ARP000205
5248.0;AMOXICILLINE;ARP000206
5248.0;AMOXICILLINE;ARP000207
5248.0;AMOXICILLINE;ARP000208
5248.0;AMOXICILLINE;ARP000209
5248.0;AMOXICILLINE;ARP000210
28165.0;AMOXICILLINE TRIHYDRATÉE;ARP000211
5248.0;AMOXICILLINE;ARP000212
5248.0;AMOXICILLINE;ARP000213
93286.0;ACIDE CLAVULANIQUE;ARP000213
5248.0;AMOXICILLINE;ARP000214
5248.0;AMOXICILLINE;ARP000215
5363.0;SÉLÉNIUM;ARP000216
5363.0;SÉLÉNIUM;ARP000217
5248.0;AMOXICILLINE;ARP000218
84525.0;AMPICILLINE BASE;ARP000219
5248.0;AMOXICILLINE;ARP000220
5248.0;AMOXICILLINE;ARP000222
5248.0;AMOXICILLINE;ARP000223
5248.0;AMOXICILLINE;ARP000224
28165.0;AMOXICILLINE TRIHYDRATÉE;ARP000225
5248.0;AMOXICILLINE;ARP000225
5248.0;AMOXICILLINE;ARP000226
3611.0;TINIDAZOLE;ARP000227
901.0;CHLORURE DE SODIUM;ARP000228
901.0;CHLORURE DE SODIUM;ARP000229
39727.0;AMLODIPINE;ARP000231
39727.0;AMLODIPINE;ARP000232
44437.0;ROPIVACAÏNE;ARP000233
42215.0;ANASTROZOLE;ARP000234
42215.0;ANASTROZOLE;ARP000235
44437.0;ROPIVACAÏNE;ARP000236
64438.0;LOSARTAN;ARP000237
5230.0;NITRATE DE THIAMINE;ARP000238
1539.0;CYANOCOBALAMINE;ARP000238
3984.0;CHLORHYDRATE DE PYRIDOXINE;ARP000238
31416.0;IRBÉSARTAN;ARP000239
2064.0;HYDROCHLOROTHIAZIDE;ARP000240
31416.0;IRBÉSARTAN;ARP000240
1023.0;VITAMINE C;ARP000241
2202.0;PARACÉTAMOL;ARP000241
987.0;ACÉTATE DE CYPROTÉRONE;ARP000242
85184.0;PRILOCAÏNE;ARP000243
5431.0;LIDOCAÏNE;ARP000243
48528.0;LOSARTAN POTASSIQUE;ARP000244
5284.0;CHLORURE DE DÉQUALINIUM;ARP000245
545.0;ACÉTATE D'HYDROCORTISONE;ARP000245
5432.0;LIDOCAÏNE (CHLORHYDRATE DE);ARP000245
5506.0;ÉNOXOLONE;ARP000245
64438.0;LOSARTAN;ARP000246
929.0;OXYDE DE ZINC;ARP000247
71861.0;GLIMÉPIRIDE;ARP000247
545.0;ACÉTATE D'HYDROCORTISONE;ARP000247
4134.0;ALLANTOÏNE;ARP000247
5431.0;LIDOCAÏNE;ARP000247
587.0;CIMÉTIDINE;ARP000249
35415.0;TRAMADOL;ARP000250
2202.0;PARACÉTAMOL;ARP000250
2092.0;IBUPROFÈNE;ARP000251
467.0;CODÉINE;ARP000252
2092.0;IBUPROFÈNE;ARP000252
2092.0;IBUPROFÈNE;ARP000253
10655.0;MÉTOCLOPRAMIDE;ARP000255
32109.0;CYPROHEPTADINE;ARP000255
5431.0;LIDOCAÏNE;ARP000256
4415.0;HYDROXYDE DE MAGNÉSIUM;ARP000257
2940.0;HYDROXYDE D'ALUMINIUM;ARP000257
10394.0;SIMÉTICONE;ARP000257
47018.0;CHLORHYDRATE DE PAROXÉTINE ANHYDRE;ARP000258
3197.0;CHLORHYDRATE DE CYPROHEPTADINE;ARP000258
54693.0;CLOPIDOGREL;ARP000259
907.0;BROMAZÉPAM;ARP000260
79172.0;PEROXYDE D'HYDROGÈNE;ARP000261
901.0;CHLORURE DE SODIUM;ARP000261
94881.0;MAGNÉSIUM;ARP000265
1473.0;ZINC;ARP000265
1023.0;ACIDE ASCORBIQUE;ARP000265
1525.0;CHOLÉCALCIFÉROL;ARP000265
38193.0;MOXIFLOXACINE;ARP000266
3197.0;CHLORHYDRATE DE CYPROHEPTADINE;ARP000268
2201.0;DEXPANTHÉNOL;ARP000268
2452.0;NICOTINAMIDE;ARP000268
2284.0;PYRIDOXINE;ARP000268
32109.0;CYPROHEPTADINE;ARP000268
32109.0;CYPROHEPTADINE;ARP000269
96035.0;AZITHROMYCINE;ARP000270
1023.0;ACIDE ASCORBIQUE;ARP000271
2202.0;PARACÉTAMOL;ARP000271
3193.0;CHLORPHÉNAMINE (MALÉATE DE);ARP000271
8.0;ACIDE BORIQUE;ARP000273
2092.0;IBUPROFÈNE;ARP000274
2202.0;PARACÉTAMOL;ARP000276
32109.0;CYPROHEPTADINE;ARP000277
2202.0;PARACÉTAMOL;ARP000278
3271.0;NAPROXÈNE;ARP000279
2229.0;PROGESTÉRONE;ARP000280
31416.0;IRBÉSARTAN;ARP000281
39727.0;AMLODIPINE;ARP000281
31416.0;IRBÉSARTAN;ARP000282
31416.0;IRBÉSARTAN;ARP000283
93.0;CHLORURE DE POTASSIUM;ARP000284
54719.0;CHLORURE DE MAGNÉSIUM;ARP000284
1023.0;ACIDE ASCORBIQUE;ARP000284
428.0;CARBONATE DE CALCIUM;ARP000284
3605.0;L-TYROSINE;ARP000287
430.0;CHLORURE DE CALCIUM;ARP000287
928.0;CHLORURE DE ZINC;ARP000287
5618.0;GLYCÉROPHOSPHATE DE POTASSIUM;ARP000287
2709.0;LACTULOSE;ARP000287
2285.0;PYRIMÉTHAMINE;ARP000289
71153.0;TELMISARTAN;ARP000291
47493.0;ÉTORICOXIB;ARP000292
3348.0;ALBENDAZOLE;ARP000292
974.0;ORNIDAZOLE;ARP000293
2754.0;OFLOXACINE;ARP000293
42215.0;ANASTROZOLE;ARP000294
96835.0;ARIPIPRAZOLE;ARP000295
71082.0;FONDAPARINUX SODIQUE;ARP000296
15078.0;THÉOPHYLLINE ANHYDRE;ARP000297
4347.0;HUILE ESSENTIELLE DE ROMARIN;ARP000298
155.0;HUILE ESSENTIELLE D'EUCALYPTUS;ARP000298
3469.0;HUILE ESSENTIELLE DE PIN;ARP000298
24296.0;LUMÉFANTRINE;ARP000300
39567.0;ARTÉMÉTHER;ARP000300
342.0;TRIMÉTHOPRIME;ARP000300
342.0;TRIMÉTHOPRIME;ARP000301
39567.0;ARTÉMÉTHER;ARP000302
24296.0;LUMÉFANTRINE;ARP000302
39567.0;ARTÉMÉTHER;ARP000303
24296.0;LUMÉFANTRINE;ARP000303
24296.0;LUMÉFANTRINE;ARP000304
39567.0;ARTÉMÉTHER;ARP000304
19576.0;HYPROMELLOSE;ARP000306
39567.0;ARTÉMÉTHER;ARP000307
39567.0;ARTÉMÉTHER;ARP000308
39567.0;ARTÉMÉTHER;ARP000309
39567.0;ARTÉMÉTHER;ARP000310
39567.0;ARTÉMÉTHER;ARP000311
69862.0;MÉFLOQUINE;ARP000313
54693.0;CLOPIDOGREL;ARP000314
39567.0;ARTÉMÉTHER;ARP000315
69862.0;MÉFLOQUINE;ARP000318
69862.0;MÉFLOQUINE;ARP000319
24296.0;LUMÉFANTRINE;ARP000324
39567.0;ARTÉMÉTHER;ARP000324
39567.0;ARTÉMÉTHER;ARP000325
24296.0;LUMÉFANTRINE;ARP000325
39567.0;ARTÉMÉTHER;ARP000326
3271.0;NAPROXÈNE;ARP000327
24296.0;LUMÉFANTRINE;ARP000328
39567.0;ARTÉMÉTHER;ARP000328
35232.0;CEFTRIAXONE;ARP000329
5371.0;BENZOATE DE BENZYLE;ARP000330
1747.0;DISULFIRAME;ARP000331
5371.0;BENZOATE DE BENZYLE;ARP000331
5.0;ACIDE ACÉTYLSALICYLIQUE;ARP000333
1023.0;ACIDE ASCORBIQUE;ARP000334
3559.0;SULFATE DE SALBUTAMOL;ARP000335
984.0;DOMPÉRIDONE;ARP000336
38524.0;PANTOPRAZOLE;ARP000336
39727.0;AMLODIPINE;ARP000337
2064.0;HYDROCHLOROTHIAZIDE;ARP000337
5.0;ACIDE ACÉTYLSALICYLIQUE;ARP000338
5.0;ACÉTYLSALICYLIQUE (ACIDE);ARP000341
1023.0;ACIDE ASCORBIQUE;ARP000342
690.0;ACIDE SALICYLIQUE;ARP000343
5.0;ACÉTYLSALICYLIQUE (ACIDE);ARP000343
342.0;TRIMÉTHOPRIME;ARP000344
2878.0;SULFAMÉTHOXAZOLE;ARP000344
69215.0;FLUCLOXACILLINE;ARP000344
69215.0;FLUCLOXACILLINE;ARP000345
626.0;SALBUTAMOL;ARP000346
1023.0;VITAMINE C;ARP000347
1044.0;ACIDE GLUTAMIQUE;ARP000347
1525.0;CHOLÉCALCIFÉROL;ARP000348
622.0;VITAMINE A;ARP000348
2666.0;L-MÉTHIONINE;ARP000348
674.0;L-TRYPTOPHANE;ARP000348
675.0;L-VALINE;ARP000348
658.0;L-THRÉONINE;ARP000348
610.0;L-PHÉNYLALANINE;ARP000348
563.0;L-LYSINE;ARP000348
550.0;L-ISOLEUCINE;ARP000348
555.0;L-LEUCINE;ARP000348
48694.0;THIAMINE;ARP000348
2331.0;RIBOFLAVINE;ARP000348
675.0;L-VALINE;ARP000349
658.0;L-THRÉONINE;ARP000349
610.0;L-PHÉNYLALANINE;ARP000349
563.0;L-LYSINE;ARP000349
550.0;L-ISOLEUCINE;ARP000349
555.0;L-LEUCINE;ARP000349
674.0;L-TRYPTOPHANE;ARP000349
2666.0;L-MÉTHIONINE;ARP000349
1023.0;ACIDE ASCORBIQUE;ARP000349
1473.0;ZINC;ARP000350
94881.0;MAGNÉSIUM;ARP000350
34855.0;FER;ARP000350
2331.0;RIBOFLAVINE;ARP000352
1040.0;ACIDE FOLIQUE;ARP000352
544.0;HISTIDINE;ARP000352
563.0;LYSINE;ARP000352
1023.0;VITAMINE C;ARP000352
2201.0;DEXPANTHÉNOL;ARP000352
1539.0;CYANOCOBALAMINE;ARP000352
1823.0;CHLORHYDRATE DE THIAMINE;ARP000352
3984.0;CHLORHYDRATE DE PYRIDOXINE;ARP000352
1040.0;ACIDE FOLIQUE;ARP000353
2284.0;PYRIDOXINE;ARP000353
544.0;L-HISTIDINE;ARP000353
563.0;L-LYSINE;ARP000353
2201.0;DEXPANTHÉNOL;ARP000353
1539.0;CYANOCOBALAMINE;ARP000353
2331.0;RIBOFLAVINE;ARP000353
2452.0;NICOTINAMIDE;ARP000353
48694.0;THIAMINE;ARP000353
1023.0;ACIDE ASCORBIQUE;ARP000353
2452.0;NICOTINAMIDE;ARP000354
1539.0;CYANOCOBALAMINE;ARP000354
1525.0;CHOLÉCALCIFÉROL;ARP000354
1040.0;ACIDE FOLIQUE;ARP000354
622.0;VITAMINE A;ARP000354
48694.0;THIAMINE;ARP000354
2331.0;RIBOFLAVINE;ARP000354
2284.0;PYRIDOXINE;ARP000354
5394.0;PANTOTHÉNATE DE CALCIUM;ARP000354
87487.0;DÉFÉRASIROX;ARP000355
2087.0;CHLORHYDRATE D'HYDROXYZINE;ARP000356
27570.0;ATAZANAVIR;ARP000357
53415.0;RITONAVIR;ARP000357
762.0;ATÉNOLOL;ARP000358
762.0;ATÉNOLOL;ARP000359
762.0;ATÉNOLOL;ARP000360
19809.0;ATORVASTATINE;ARP000361
19809.0;ATORVASTATINE;ARP000362
19809.0;ATORVASTATINE;ARP000363
39727.0;AMLODIPINE;ARP000363
54693.0;CLOPIDOGREL;ARP000364
19809.0;ATORVASTATINE;ARP000364
19809.0;ATORVASTATINE;ARP000365
10321.0;ATROPINE;ARP000367
4150.0;ATROPINE (SULFATE D');ARP000367
4150.0;ATROPINE (SULFATE D');ARP000368
4150.0;ATROPINE (SULFATE D');ARP000369
19809.0;ATORVASTATINE;ARP000370
28165.0;AMOXICILLINE TRIHYDRATÉE;ARP000372
93286.0;ACIDE CLAVULANIQUE;ARP000372
4773.0;OMÉPRAZOLE;ARP000373
3188.0;CHLORHYDRATE DE CHLORTÉTRACYCLINE;ARP000374
3955.0;OXYTÉTRACYCLINE (CHLORHYDRATE D');ARP000375
1837.0;TÉTRACYCLINE;ARP000375
5432.0;LIDOCAÏNE (CHLORHYDRATE DE);ARP000376
19757.0;CÉFAZOLINE;ARP000377
93286.0;ACIDE CLAVULANIQUE;ARP000378
5248.0;AMOXICILLINE;ARP000378
96035.0;AZITHROMYCINE;ARP000379
96035.0;AZITHROMYCINE;ARP000380
19809.0;ATORVASTATINE;ARP000383
70202.0;BÉVACIZUMAB ;ARP000384
23654.0;TOBRAMYCINE;ARP000385
25715.0;ACICLOVIR;ARP000386
17256.0;ÉFAVIRENZ;ARP000387
9122.0;ZIDOVUDINE;ARP000389
17878.0;LAMIVUDINE;ARP000389
9122.0;ZIDOVUDINE;ARP000390
17878.0;LAMIVUDINE;ARP000390
36065.0;DUTASTÉRIDE;ARP000392
17878.0;LAMIVUDINE;ARP000393
529.0;GLUCOSE ANHYDRE;ARP000395
529.0;GLUCOSE ANHYDRE;ARP000396
36592.0;DICLOFÉNAC;ARP000397
5248.0;AMOXICILLINE;ARP000398
79481.0;AZTRÉONAM;ARP000399
25783.0;CHLORHYDRATE DE RANITIDINE;ARP000400
49632.0;RANITIDINE;ARP000400
15009.0;TIMOLOL;ARP000401
59860.0;BRINZOLAMIDE;ARP000401
96035.0;AZITHROMYCINE;ARP000402
96035.0;AZITHROMYCINE;ARP000403
96035.0;AZITHROMYCINE;ARP000404
96035.0;AZITHROMYCINE;ARP000405
96035.0;AZITHROMYCINE;ARP000406
96035.0;AZITHROMYCINE;ARP000407
43303.0;AZITHROMYCINE MONOHYDRATÉE;ARP000408
96035.0;AZITHROMYCINE;ARP000409
96035.0;AZITHROMYCINE;ARP000410
96035.0;AZITHROMYCINE;ARP000411
96035.0;AZITHROMYCINE;ARP000412
96035.0;AZITHROMYCINE;ARP000413
96035.0;AZITHROMYCINE;ARP000414
96035.0;AZITHROMYCINE ANHYDRE;ARP000414
96035.0;AZITHROMYCINE;ARP000415
3348.0;ALBENDAZOLE;ARP000416
59860.0;BRINZOLAMIDE;ARP000417
2202.0;PARACÉTAMOL;ARP000418
96035.0;AZITHROMYCINE;ARP000419
70202.0;BÉVACIZUMAB ;ARP000420
62180.0;ACÉCLOFÉNAC;ARP000421
68669.0;DOLUTÉGRAVIR;ARP000423
17878.0;LAMIVUDINE;ARP000423
2160.0;ACIDE FUSIDIQUE;ARP000424
38524.0;PANTOPRAZOLE;ARP000425
51827.0;BILASTINE;ARP000426
9586.0;PÉRINDOPRIL ERBUMINE;ARP000427
93748.0;AMLODIPINE (BÉSILATE D');ARP000427
94881.0;MAGNÉSIUM;ARP000428
1119.0;ZINC (SULFATE DE) MONOHYDRATÉ;ARP000428
39727.0;AMLODIPINE;ARP000429
2064.0;HYDROCHLOROTHIAZIDE;ARP000430
39727.0;AMLODIPINE;ARP000430
15734.0;VALSARTAN;ARP000430
39727.0;AMLODIPINE;ARP000431
39727.0;AMLODIPINE;ARP000432
39727.0;AMLODIPINE;ARP000433
39727.0;AMLODIPINE;ARP000434
93748.0;BÉSYLATE D'AMLODIPINE;ARP000435
39727.0;AMLODIPINE;ARP000436
52431.0;PÉRINDOPRIL;ARP000436
93748.0;AMLODIPINE (BÉSILATE D');ARP000437
39727.0;AMLODIPINE;ARP000437
39727.0;AMLODIPINE;ARP000438
19809.0;ATORVASTATINE;ARP000438
39727.0;AMLODIPINE;ARP000439
762.0;ATÉNOLOL;ARP000439
39727.0;AMLODIPINE;ARP000440
15734.0;VALSARTAN;ARP000440
