Nom du Medicament,Numero AMM,Date Début,Prix Public,DCI,dosage,Conditionnement,Forme Galénique,Laboratoire,Voie d’administration,classe thérapeutique,RCP,Notice,Image
SALIFEN 1 % GEL 30 MG,9631,9/28/2021,1097,DICLOFENAC / MENTHOL / SALICYLATE DE METHYLE,"0,365 g / 0,66 g / 2,52 g",,GEL DERMIQUE,BDA PHARMA PVT LTD,CUTANEE,ANTALGIQUE / ANTIINFLAMMATOIRE NON STERO√èDIEN,RCP,Notice,Image
ULCIZONE 20 MG,9684,12/30/2021,4023,OMEPRAZOLE,20 mg,BOITE / 14,COMPRIMe,AJANTA PHARMA,ORALE,ANTIULCEREUX,RCP,Notice,Image
EVIDAN 1 MG/ML,9620,9/28/2021,1414,DOMPERIDONE,1 mg,,SUSPENSION BUVABLE,BDA PHARMA PVT LTD,ORALE,,RCP,Notice,Image
STRESAM GELULE 50 MG,9274,11/5/2020,5486,CHLORHYDRATE D ETIFOXINE,50 mg,B/60,GELULLE,BIOCODEX,ORALE,ANXIOLYTIQUE,RCP,Notice,Image
VIFEX SIROP 1 MG/2 MG/50 MG,9293,11/5/2020,1585,CHLORHYDRATE DE BROMHEXINE / GUAIFENESINE / SALBUTAMOL,1 mg / 2 mg / 50 mg,,SIROP,EMCURE PHARMACEUTICALS LTD,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
BECOZYME INJ,9259,6/23/2020,3323,CHLORHYDRATE DE PYRIDOXINE / CHLORHYDRATE DE THIAMINE / DEXPANTHENOL / NICOTINAMIDE,10 mg / 4 mg / 40 mg / 6 mg,BOITE 12,SOLUTION INJECTABLE,BAYER,INJECTABLE,VITAMINES,RCP,Notice,Image
LEVITRA 5 MG,9252,6/23/2020,25016,VARDENAFIL,5 MG,,COMPRIMEPELLICULe,BAYER SHERING PHARMA,ORALE,Aphrodisiaque,RCP,Notice,Image
IBUMOL 400 MG/325 MG,9110,3/17/2020,1107,IBUPROFENE / PARACETAMOL,325 mg / 400 mg,B/30,COMPRIMe,AJANTA PHARMA LIMITED,ORALE,ANTALGIQUE / ANTIINFLAMMATOIRE NON STERO√èDIEN / ANTIPYRETIQUE,RCP,Notice,Image
DRILL PASTILLE B/24,9288,8/9/2020,2925,GLUCONATE DE CHLORHEXIDINE / PARACETAMOL,0.2 mg / 3 mg,B/24,PASTILLE,PIERRE FABRE,ORALE,,RCP,Notice,Image
BISOPROLOL REF,002623,8 February 2024,"F CFA 2,072",HEMIFUMERATE DE BISOPROLOL,5 mg,BOITE / 30,COMPRIME PELLICULE,BIOGARAN,ORALE,BETA-BLOQUANT SELECTIF,RCP,Notice,Image
TILDONE,002620,8 February 2024,"F CFA 2,194",DOMPERIDONE,10 mg,BOITE / 30,COMPRIME,TIL HEALTHCARE PVT LTD,ORALE,ANTAGONISTE DE LA DOPAMINE AVEC DES PROPRIETES ANTI-EMETIQUES,RCP,Notice,Image
THERADIAM,004932,18 March 2024,"F CFA 9,570",LACTOSE/MONOHYDRATE/MALTDEXTRINE/HYPROMELLOSE/STEARATEDE MAGNESIUM/SILICE COLLOIDE ANHYDRE,60 mg,BOITE / 60,COMPRIME,THERA,ORALE,"SULFAMIDE,HYPOGLYCEMIANT-DERIVE DE L’UREE",RCP,Notice,Image
VALMAC-AH,004969,18 March 2024,"F CFA 10,728",VALSARTAN/AMLODIPINE/HYDROCHLOTHIAZINE,160 mg / 10 mg / 25 mg,BOITE / 28,COMPRIME,MACLEODS PHARMACEUTICALS LTD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
ACRETIN,004968,18 March 2024,"F CFA 3,352",TRETINOÏNE,"0,025% p/p",TUBE / 30G,CREME,JAMJOOM PHARMACEUTICALS COMPANY,DERMIQUE,RETINOÏDE A USAGE TOPIQUE DANS L’ACNE,RCP,Notice,Image
THIAMAZOLE,004979,18 March 2024,"F CFA 7,314",THIAMAZOLE,10 mg,BOITE / 30,COMPRIME PELLICULE,GENERIC HEALTHCARE PVT.LTD,ORALE,PREPARATION ANTI-THYROIDIENNE DERIVE DE L’IMIDAZOLE CONTENANT DU SOUFRE,RCP,Notice,Image
FLOXATIL,003430,21 February 2024,"F CFA 1,828",LÉVOFLOXACINE,500 mg,FLACON / 100ml,SOLUTION POUR PERFUSION,TIL HEALTHCARE PVT LTD,PERFUSION,EDÉTATE DE DISODIUM / ACIDE CITRIQUE MONOHYDRATÉ / ACIDE CHLORHYDRIQUE / EAU POUR INJECTION,RCP,Notice,Image
THERAPRIL,004948,18 March 2024,"F CFA 2,778",PERINDOPRIL,5 mg,BOITE / 30,COMPRIME,THERA,ORALE,"INHIBITEURS DE L’ENZYME DE CONVERSION (IEC) NON ASSOCIES, CODE ACT : C09AA04",RCP,Notice,Image
AMLOTENSINE,004946,18 March 2024,"F CFA 2,816",AMLODIPINE,10 mg,BOITE / 30,COMPRIME,MEDICALE PHARMACEUTIQUE,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
AZPARA,004947,18 March 2024,"F CFA 3,047",PARACETAMOL,1000 mg,BOITE / 1,SOLUTION INJECTABLE,AZTEC PHARMA PVT LTD,INJECTABLE,ANTALGIQUE/ANTIPYRETIQUE,RCP,Notice,Image
SITAMAC-M,004983,18 March 2024,"F CFA 5,352",CLORHYDRATE DE METFORMINE USP/SITAGLIPTINE USP,1000 mg / 50 mg,BOITE / 30,COMPRIME PELLICULE,MACLEODS PHARMACEUTICALS LTD,ORALE,INHIBITEUR PUISSANT ET HAUTEMENT SELECTIF DE L’ENZYME DIPEPTIDYLPEPTIDASE 4,RCP,Notice,Image
PAMISCAN,004951,18 March 2024,"F CFA 30,174",IOPAMIDOL,370 mg,FLACON / 100ML,SOLUTION INJECTABLE,MEDIS SENEGAL,INJECTABLE,PRODUITS DE CONTRASTE,RCP,Notice,Image
SEFAM PL,002626,8 February 2024,"F CFA 7,432",PERINDOPRIL ARGININE/AMLODIPINE,10 mg / 5 mg,BOITE / 30,COMPRIME,SEFIER LIFE SCIENCE PVT LTD,ORALE,"AGISSANT SUR LE SYSTEME RENINE-AGIOTENSINE, INHIBITEURS DE L’EC",RCP,Notice,Image
BISOPROLOL REF,002657,8 February 2024,"F CFA 2,072",HEMIFUMERATE DE BISOPROLOL,2.5 mg,BOITE / 30,COMPRIME PELLICULE,BIOGARAN,ORALE,BETA-BLOQUANT SELECTIF,RCP,Notice,Image
SOMNIAL,004943,18 March 2024,"F CFA 3,199",DOXYLAMINE,25 mg,BOITE / 14,COMPRIME PELLICULE,BIAL,ORALE,"ANTITHISTAMINIQUES A USAGE SYSTEMIQUE,AMINOALKYL ETHERS",RCP,Notice,Image
ENOXAGEN,002494,7 February 2024,"F CFA 10,362",ENOXAPARINE SODIQUE,60 mg,BOITE / 2,SOLUTION INJECTABLE,GENERIC HEALTHCARE PVT.LTD,INJECTABLE,"AGENT ANTITHROMBOTIQUE, GROUPE DE L’HEPARINE",RCP,Notice,Image
FEBUXOSTAT BIOGARAN,002656,8 February 2024,"F CFA 7,314",FEBUXOSTAT,80 mg,BOITE / 28,COMPRIME PELLICULE,BIOGARAN,ORALE,URICOSRIRIQUE INHIBITEUR DE LASYNTHESE D’ACIDE URIQUE,RCP,Notice,Image
CO-THERAPRIL,004930,18 March 2024,"F CFA 5,181",PERINDOPRIL ARGININE / AMLODIPINE,10 mg / 10 mg,BOITE / 30,COMPRIME,THERA,ORALE,INHIBITEURS DE L’ENZYME DE CONVERSION (IEC) ET INHIBITEURS CALCIQUES,RCP,Notice,Image
ENOXAGEN,002599,8 February 2024,"F CFA 12,191",ENOXAPRINE SODIQUE,80 mg,BOITE/2,SERINGUES PREREMPLIES DE 2ml,GENERIC HEALTHCARE PVT.LTD,INJECTABLE,"AGENT ANTITHROMBOTIQUE, GROUPE DE L’HEPARINE",RCP,Notice,Image
PAMISCAN,004950,18 March 2024,"F CFA 15,483",IOPAMIDOL,370mg,FLACON / 50 ml,SOLUTION INJECTABLE,MEDIS SENEGAL,INJECTABLE,PRODUIT DE CONTRASTE,RCP,Notice,Image
LEVOPIRID-GH,002631,8 February 2024,"F CFA 5,364",LEVOSULPIRIDE,25 mg,BOITE/20,COMPRIME,GENERIC HEALTHCARE PVT.LTD,ORALE,SYNDROME DYSPEPTIQUE,RCP,Notice,Image
RIVASON,004929,18 March 2024,"F CFA 9,753",RIVAROXABAN,20 mg,BOITE / 14,COMPRIME,UNISON PHARMACEUTICALS P.V.T LTD,ORALE,AGENTS ANTITHROMBOTIQUES INHIBITEURS DIRECT DU FACTEUR Xa,RCP,Notice,Image
COTECLAV,004928,18 March 2024,"F CFA 1,779",AMOXILLINE/ACIDE CLAVULANIQUE,1000 mg / 200 mg,BOITE / 1,SOLUTION INJECTABLE,NSN HEALTHCARE PVT.LTD.SHOP,INJECTABLE,ASSOCIATION DE PENICILLINES Y COMPRIS INIBITEURS DE LA BETA-LACTAMASE,RCP,Notice,Image
ASTYFER,002512,7 February 2024,"F CFA 5,120",CHLORHYDRATE DE THIAMINE / CHORHYDRATE DE PYRIDOXINE / RIBOFLAVINE / CYANOCOBALAMINE / PANTHENOL / ACIDE FOLIQUE / HISTIDINE / LYSINE / VITAMINE C,"5 mg / 1,5 mg / 3mg / 2,5 mcg / 2,5 mcg / 0,5 mg / 4 mg / 25 mg /40 mg",FLACON / 200 ml,SIROP,TIL HEALTHCARE PVT LTD,ORALE,ANTI-ANEMIE,RCP,Notice,Image
EAU OXYGENE,002513,7 February 2024,"F CFA 1,523",SOLUTION DE PEROXYDE D’HYDROGENE,10 volumes,FLACON / 250 ml,SOLUTION,GILBERT,CUTANEE,ANTISEPTIQUES ET DESINFECTANTS,RCP,Notice,Image
LASTAVIN,004966,18 March 2024,"F CFA 9,070",VALSARTAN / AMLODIPINE BESYLATE,160 mg / 10 mg,BOITE / 30,COMPRIME,AJANTA PHARMALIMITED,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
SERDERAX,004980,18 March 2024,"F CFA 8,412",PERINDOPRIL ARGININE / INDAPAMIDE,"5 mg /1,25 mg",BOITE / 30,COMPRIME PELLICULE,SERVIER,ORALE,DIURETIQUES,RCP,Notice,Image
SPIROTIL,002616,8 February 2024,"F CFA 4,023",SPIRONOLACTONE,25 mg,BOITE / 30,COMPRIME,TIL HEALTHCARE PVT LTD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
CLEDOMOX,002637,8 February 2024,"F CFA 4,388",AMOXICILLINE TRIHYDRATE/ CLAVULANATE POTASSIUM,"250 mg / 31,25 mg",FLACON / 60 ml,POUDRE POUR SUSPENSION BUVABLE,MEDOPHARM PRIVE LIMITED,ORALE,ANTIBIOTQUES ANTIBACTERIENS DE LA FAMILLE DES BETALACTAMINES DU GROUPE DES AMINPENICILLINES (J01CR02),RCP,Notice,Image
PHENOXAL,002489,7 February 2024,F CFA 914,PHENOBARBITAL,100 mg,BOITE / 20,COMPRIME,VICTORIA,ORALE,ANTIEPILEPTIQUE,RCP,Notice,Image
EAU OXYGENEE GILBERT,002513,7 February 2024,"F CFA 1,109",PEROXYDE D’HYDROGENE,10 volumes,FLACON /120 ml,SOLUTION,GILBERT,CUTANEE,DESINFECTANT/ANTISEPTIQUE,RCP,Notice,Image
CIPROFLOXACINE,002519,7 February 2024,F CFA 670,CIPROFLOXACINE,200 mg,FLACON / 100 ml,SOLUTION POUR PERFUSION,OBCO PHARMA,PERFUSION,FLUOROQUINOLONE,RCP,Notice,Image
AMLODIPINE / VALSATRAN BIOGARAN,002522,7 February 2024,"F CFA 5,402",AMLODIPINE/VALSARTRAN,5 mg / 160 mg,BOITE / 30,COMPRIME PELLICULE,BIOGARAN,ORALE,AGENT AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,RCP,Notice,Image
TENELIG,002487,7 February 2024,"F CFA 12,191",TENELIGLITINE,20 mg,BOITE / 30,COMPRIME PELLICULE,GENERIC HEALTHCARE PVT.LTD,ORALE,INHIBITEUR ACTIF PAR VOIE ORALE DE L’ENZYME DIPEPTIDYL PEPTIDASE-4,RCP,Notice,Image
BENZATHINE BENZYLPENICILLINE OBCO,002518,7 February 2024,"F CFA 1,280",BENZATHINE BENZYLPENICILLINE,2 400 000 UI,BOITE / 1 FLACON,POUDRE ET SOLVANT POUR INJECTION,OBCO PHARMA,ORALE,"AGENTS ANTIBACTERIENS A USAGE SYSTEMIQUE, PENICILLINES SENSIBLES AUX BETALACTAMEASES",RCP,Notice,Image
OLIPEN,002621,8 February 2024,"F CFA 5,052",AMOXICILLINE/ACIDE CLAVULANIQUE/CINEOL,"500 mg /62,5 mg / 100 mg",BOITE / 16,POUDRE SUSPENSION BUVABLE,SOTHEMA,ORALE,ASSOCIATION DE PENICILLINES Y COMPRIS INIBITEURS DE LA BETA-LACTAMASE ET MONOTERPENE,RCP,Notice,Image
AMLODIPINE/VALSARTAN BIOGARAN,002618,8 February 2024,"F CFA 13,483",AMLODIPINE/VALSARTRAN,5 mg / 80 mg,BOITE / 90,COMPRIME PELLICULE,BIOGARAN,ORALE,AGENT AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,RCP,Notice,Image
NEUTROSEC,002510,7 February 2024,"F CFA 5,364",DL-METHIONINE / CHOLINE BITRATADE / NITRATE DE THIAMINE / RIBOFLAVINE / PYRIDOXINE CHLORYDRATE / NICOTINAMIDE / DEXPANTHENOL / BIOTINE / ACIDE FOLIQUE / CYANOCOBALAMINE / ALPHA TOCOPHEROL,"200 mg / 200 mg / 3 mg / 3 mg / 1,5 mg / 22,5 mg / 4,5 mg / 0,1 mg / 0,5 mg / 3,0 mcg / 7,5 UI",BOITE / 30,COMPRIME,TIL HEALTHCARE PVT LTD,ORALE,MULTIVITAMINES,RCP,Notice,Image
AMLODIPINE-AT,002644,8 February 2024,"F CFA 13,410",ATROVASTATINE/AMLODIPINE/PERINDOPRIL,10 mg / 10 mg / 10mg,BOITE / 30,COMPRIME,GENERIC HEALTHCARE PVT.LTD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
ESOPEL,002622,8 February 2024,"F CFA 10,972",ESOMEPRAZOLE,40 mg,BOITE / 30,COMPRIME ENROBE,MEDOPHARM PRIVE LIMITED,ORALE,MEDICAMENTS DES TROUBLES LIES A L’ACIDITE INHIBITEURD DE LA POMPE A PROTONS,RCP,Notice,Image
ACARBOSE-GH,003047,15 February 2024,"F CFA 18,287",ACARBOSE,50 mg,BOITE / 100,COMPRIME,GENERIC HEALTHCARE PVT.LTD,ORALE,INHIBITEUR DE L’ALPHA-GLUCOSIDASE,RCP,Notice,Image
N-T-TUS,002524,7 February 2024,"F CFA 1,584",EXTRAIT DE TERMINALIA BELLIRICA EN POUDRE / EXTRAIT DE GLYCYRRHIZA GLABRA EN POUDRE / EXTRAIT D’ADHATODA VASICA EN POUDRE / EXTRAIT D’OCIMUM EN POUDRE / EXTRAIT DE CURCUMA LONGA EN POUDRE / EXTRAIT D’ALPINIA GALANGA EN POUDRE / EXTRAIT DE PIPER LONGUM EN POUDRE,"2 g / 1 g / 0,8 g / 0,8 g / 0,6 g / 0,4 g / 0,4 g",FLACON / 100ml,SUSPENSION BUVABLE,CADILA PHARMACEUTICALS LIMITED,ORALE,RHUME,RCP,Notice,Image
GINKGO BIOGARAN,002651,8 February 2024,"F CFA 9,326",GINKGO BILOBA L,40 mg,BOITE / 90,COMPRIME,GILBERT,ORALE,AUTRE MEDICAMENT DE LA DEMENCE,RCP,Notice,Image
ZITHROTIL,002614,8 February 2024,"F CFA 2,438",AZITHROMYCINE,500 mg,BOITE / 3,COMPRIME,TIL HEALTHCARE PVT LTD,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
XONE,002645,8 February 2024,"F CFA 1,219",CEFTRIAXONE,1 g,BOITE / 1,SOLUTION INJECTABLE,ALKEM LABORATOIRE LIMITED,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
GLIPINN,002517,7 February 2024,"F CFA 7,924",PHOSPHATE DE SITAGLIPTINE MONOHYDRATÉ / CHLORHYDRATE DE MÉTFORMINE,50 mg / 1000 mg,BOITE / 30,COMPRIME PELLICULE,PINNACLE LIFE SCIENCE PVT,ORALE,ANTIDIABÉTIQUE ORAUX,RCP,Notice,Image
ENOXAGEN,002655,8 February 2024,"F CFA 7,924",ENOXAPARINE SODIQUE,40 mg,BOITE / 2,SERINGUES PREREMPLIES,GENERIC HEALTHCARE PVT.LTD,INJECTABLE,"AGENT ANTITHROMBOTIQUE, GROUPE DE L’HEPARINE",RCP,Notice,Image
CELEBIB,002507,7 February 2024,"F CFA 7,314",CELECOXIB,200 mg,BOITE / 20,GELLULE,MACLEODS PHARMACEUTICALS LTD,ORALE,INHIBITEUR ORAL SELECTIF DE LA COX-2,RCP,Notice,Image
ALLESTENE,002642,8 February 2024,"F CFA 2,315",BETAMETASONE,0.5 %,FLACON / 30 ml,SOLUTION BUVABLE,MACLEODS PHARMACEUTICALS LTD,ORALE,"CORTICOIDES A USAGE SYSTEMIQUE,NATURE,GLUCOCORTICOIDE ATC.ACTIVITE QNTI INFLAMMATOIRE",RCP,Notice,Image
AMLOPERIN-AT,002647,8 February 2024,"F CFA 13,410",ATORVASTATINE / AMLODIPINE / PERINDOPRIL,20 mg / 10 mg / 10mg,BOITE / 30,COMPRIME,GENERIC HEALTHCARE PVT.LTD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
AMLODIPINE / VALSATRAN BIOGARAN,002652,8 February 2024,"F CFA 4,728",AMLODIPINE/VALSARTRAN,5 mg / 80 mg,BOITE / 30,COMPRIME PELLICULE,BIOGARAN,ORALE,AGENT AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,RCP,Notice,Image
AMLODIPINE / VALSATRAN BIOGARAN,002604,8 February 2024,"F CFA 15,387",AMLODIPINE/VALSARTRAN,10 mg / 160 mg,BOITE / 90,COMPRIME PELLICULE,BIOGARAN,ORALE,AGISSANT SUR LE SYSTEME RENINE-AGIOTENSINE,RCP,Notice,Image
FLUKOCIN,002597,8 February 2024,"F CFA 2,438",FLUCOXACILLINE,250 mg,FLACON / 100ml,POUDRE POUR SUSPENSION BUVABLE,MEDOPHARM PRIVE LIMITED,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
FLUKOCIN,002596,8 February 2024,"F CFA 3,657",FLUCOXACILLINE,500 mg,BOITE / 20,GELLULE,MEDOPHARM PRIVE LIMITED,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
ZEALARGY,002509,7 February 2024,"F CFA 4,876",RUPATADINE,10 mg,BOITE /20,COMPRIME,CADILA PHARMACEUTICALS LIMITED,ORALE,ANTITHISTAMINIQUE,RCP,Notice,Image
THIAMAZOLE-GH,004984,18 March 2024,"F CFA 4,876",THIAMAZOLE,5 mg,BOITE / 30,COMPRIME,GENERIC HEALTHCARE PVT.LDT,ORALE,"PREPARATION ANTI-THYROIDIENNE, DERIVE DE L’IMIDAZOLE CONTENANT DU SOUFRE",RCP,Notice,Image
SEFAM PL,002632,8 February 2024,"F CFA 6,888",PERINDOPRIL ARGININE/ AMLODIPINE,5mg/ 5 mg,BOITE / 30,COMPRIME,SEFIER LIFE SCIENCE PVT LTD,ORALE,AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE / INHIBITEURS DE L’EC,RCP,Notice,Image
AFINE C,004982,18 March 2024,"F CFA 2,560",ACETAMINOPHENE / MALEATE DE PHENYLEPHRINE,500 mg/ 25 mg / 200 mg,BOITE / 10,COMPRIME,SUBIRA PHARMACEUTICAL PVT LTD,ORALE,ETATS GRIPPAUX ET AFFECTIONS,RCP,Notice,Image
THIAMAZOLE-GH,004933,18 March 2024,"F CFA 8,534",THIAMAZOLE,"20,00 mg",BOITE / 30,COMPRIME PELLICULE,GENERIC HEALTHCARE PVT.LDT SHIVAJINAGAR,ORALE,"PREPARATION ANTI-THYROIDIENNE, DERIVE DE L’IMIDAZOLE CONTENANT DU SOUFRE",RCP,Notice,Image
DATRAMOL,004942,18 March 2024,"F CFA 1,219",TRAMADOL / PARACETAMOL,37 mg / 325 mg,BOITE / 10,COMPRIME,DAFRA PHARMA GMBH,ORALE,ANALGESIQUE COMBINAISON D’UN OPIOIDE ET UN NON OPIOIDE,RCP,Notice,Image
SILOTRIF,004959,18 March 2024,"F CFA 7,514",SILODOSINE,8 mg,BOITE / 30,GELULE,MSN HOUSE,ORALE,"MEDICAMENTS UROLOGIQUES, ALPHA BLOQUANTS",RCP,Notice,Image
IDUMOL,002612,8 February 2024,"F CFA 1,219",PARACETAMOL/ IBUPROFENE/ CAFEINE,325mg/ 200mg/ 40mg,BOITE / 20,COMPRIME,MEDOPHARM PRIVATE LIMTED MEDOHOUSE,ORALE,ANTALGIQUE / ANTIPIRETIQUE,RCP,Notice,Image
THERADIAM,004962,18 March 2024,"F CFA 6,181",GLICLAZIDE,60 mg,BOITE / 30,COMPRIME,THERA,ORALE,SULFAMIDE HYPOGLYCEMIANT-DERIVE DE L’UREE,RCP,Notice,Image
AQUZON – SP,004941,18 March 2024,"F CFA 23,042",AMODIAQUINE / SULFADOXINE / PYRIMETHAMINE,153 mg / 500 mg / 25 mg,BOITE / 50,COMPRIME,MACLEODOS PHARMACEUTICALS LTD,ORALE,ANTIPALUDEEN,RCP,Notice,Image
OLOPAT,004958,18 March 2024,"F CFA 3,962",OLOPATADINE,1 mg,FLACON / 10 ml,COLLYRE,JAMJOOM PHARMACEUTICALS COMPANY,OPHTHALMIQUE,DECONGESTIONNANT ET ANTIALLERGIQUE,RCP,Notice,Image
CO-THERAPRIL,004961,18 March 2024,"F CFA 5,083",PERINDOPRIL ARGININE / AMLODIPINE,10 mg / 5mg,BOITE / 30,COMPRIME,THERA,ORALE,INHIBITEUR DE L’ENZYME DE CONVERSION ( IEC ) ET INHIBITEUR C ALCIQUE,RCP,Notice,Image
SERDERAX,004937,18 March 2024,"F CFA 12,020",PERINDOPRIL ARGININE /INDAPAMIDE,"10 mg / 2,5 mg",BOITE / 30,COMPRIME PELLICULE,SERVIER,ORALE,DIURETIQUES,RCP,Notice,Image
CLEDOMAX,002613,8 February 2024,"F CFA 3,169",AMOXICILINE/ CLAVULANATE,250 mg/ 31.25,FLACON / 60 ml,POUDRE POUR SUSPENSION BUVABLE,MEDOPHARM PRIVATE LIMTED MEDOHOUSE,ORALE,"ANTIBIOTIQUES ANTIBACTERIENS DE LA FAMILLE DES BETALACTAMINES,DU GROUPE DES AMINOPENICILLINES",RCP,Notice,Image
